	sequences per sample	iteration	515rcbc12	515rcbc30	515rcbc15	515rcbc28	515rcbc25	515rcbc14	515rcbc31	515rcbc24	515rcbc22	515rcbc34	515rcbc23	515rcbc26	515rcbc29	515rcbc35	515rcbc10	515rcbc27	515rcbc17	515rcbc33	515rcbc19	515rcbc16	515rcbc32	515rcbc37	515rcbc13	515rcbc18	515rcbc9	515rcbc11	515rcbc21	515rcbc8	515rcbc36	515rcbc20
alpha_rarefaction_305_9.txt	305	9	865.5	595.724137931	807.785714286	769.75	563.034482759	633.903225806	849.285714286	695.291666667	793.884615385	831.5	682.363636364	621.75	684.24137931	679.869565217	713.344827586	719.222222222	811.037037037	584.517241379	936.230769231	689.875	816.333333333	751.357142857	648.620689655	765.65625	784.142857143	687.357142857	774.344827586	932.045454545	700.954545455	519.162162162
alpha_rarefaction_364_0.txt	364	0	766.75	944.166666667	694.6	753.757575758	565.25	880.111111111	956.714285714	902.25	686.935483871	712.5	637.926829268	701.34375	737.571428571	688.551724138	795.0	703.763157895	609.341463415	1181.75	870.181818182	548.022727273	621.794117647	822.621621622	624.30952381	714.2	556.075	777.371428571	683.27027027	901.0625	673.956521739	715.526315789
alpha_rarefaction_364_1.txt	364	1	1070.48387097	707.0	716.8	686.153846154	616.285714286	905.0	704.0	1102.04761905	652.5	542.0	627.028571429	1008.4	604.022727273	785.84	690.5625	1047.38461538	906.884615385	666.625	1313.39130435	738.657894737	1140.71428571	867.090909091	915.607142857	899.24137931	1050.41666667	686.5625	908.441176471	843.0	762.0	615.275
alpha_rarefaction_364_2.txt	364	2	1032.83333333	1113.14285714	863.107142857	904.714285714	801.965517241	646.456521739	776.0	791.517241379	911.884615385	698.34375	869.5	669.588235294	720.8	672.90625	668.333333333	934.5	845.677419355	817.7	936.6	668.0	612.0	898.71875	674.0	819.303030303	720.129032258	713.516129032	809.323529412	731.526315789	521.28125	651.170731707
alpha_rarefaction_364_3.txt	364	3	1347.22222222	879.538461538	711.0	838.285714286	729.103448276	684.941176471	1470.16666667	967.416666667	700.657894737	689.894736842	1000.34482759	679.5	997.444444444	866.24	515.026315789	793.277777778	792.1	830.689655172	652.772727273	954.777777778	839.677419355	830.526315789	638.0	881.303030303	737.578947368	808.096774194	789.46875	831.275862069	699.84	753.027777778
alpha_rarefaction_364_4.txt	364	4	1309.28571429	705.724137931	755.6	707.666666667	806.24	1011.37037037	874.875	1024.5	985.25	629.03030303	851.137931034	786.285714286	766.125	734.451612903	890.956521739	723.916666667	865.785714286	997.888888889	947.181818182	753.894736842	666.625	894.035714286	684.317073171	731.27027027	921.535714286	642.317073171	750.025641026	878.5	459.088235294	767.236842105
alpha_rarefaction_364_5.txt	364	5	1248.0	644.8125	924.517241379	903.25	928.222222222	740.636363636	1276.14285714	805.333333333	1007.0	790.032258065	734.636363636	857.12	1060.04	671.454545455	963.038461538	818.333333333	704.387096774	606.135135135	1060.32258065	1176.0	566.483870968	847.0	553.394736842	827.692307692	773.885714286	1107.11538462	590.022727273	971.034482759	476.689655172	724.916666667
alpha_rarefaction_364_6.txt	364	6	950.941176471	746.763157895	707.558823529	653.161290323	782.46875	1026.125	998.6	627.8	772.885714286	722.757575758	1008.09677419	592.682926829	1026.12	875.954545455	742.161290323	822.0	819.434782609	712.526315789	751.756756757	928.7	582.9	748.228571429	748.0625	1107.29166667	762.0	1005.10714286	729.083333333	611.275	627.037037037	793.236842105
alpha_rarefaction_364_7.txt	364	7	1356.11111111	1083.0	659.972972973	656.5	886.84	670.129032258	830.076923077	738.4375	817.096774194	588.394736842	624.219512195	796.1	1002.6	768.535714286	949.555555556	731.083333333	1056.95652174	1379.26086957	808.323529412	925.058823529	707.0	738.65	832.285714286	744.0	611.609756098	839.689655172	857.428571429	905.7	585.2	646.857142857
alpha_rarefaction_364_8.txt	364	8	1189.7	711.363636364	687.153846154	745.228571429	675.527777778	700.666666667	949.64	843.730769231	786.46875	897.1	869.24	751.0	577.466666667	562.428571429	644.75	689.153846154	839.294117647	709.8	828.527777778	714.117647059	508.083333333	988.103448276	665.071428571	860.090909091	669.454545455	679.27027027	576.023255814	1120.0	479.303030303	661.972972973
alpha_rarefaction_364_9.txt	364	9	1093.0	802.0	798.0	869.666666667	661.533333333	729.794117647	755.0	685.085714286	930.344827586	862.538461538	754.71875	1073.45454545	867.65625	613.53125	853.620689655	727.875	781.885714286	817.25	929.344827586	1003.73076923	809.24137931	741.405405405	661.642857143	671.634146341	843.677419355	732.176470588	520.525	777.666666667	599.44	679.731707317
alpha_rarefaction_423_0.txt	423	0	1122.52631579	703.15	670.782608696	1011.19354839	800.941176471	666.162790698	817.263157895	759.243902439	779.236842105	880.689655172	992.228571429	925.387096774	1311.33333333	805.848484848	846.441176471	865.459459459	765.2	864.108108108	1185.51612903	784.348837209	790.717948718	798.136363636	697.666666667	930.162162162	588.625	942.263157895	816.695652174	1024.03225806	672.375	631.803571429
alpha_rarefaction_423_1.txt	423	1	1311.84848485	797.277777778	894.277777778	731.025	713.357142857	975.636363636	1293.88461538	826.823529412	942.428571429	813.894736842	959.238095238	758.243902439	881.486486486	878.875	643.279069767	658.8	1046.59375	827.078947368	890.318181818	796.277777778	899.40625	1035.0	984.636363636	809.146341463	637.222222222	715.666666667	755.534883721	600.326086957	611.0	690.306122449
alpha_rarefaction_423_2.txt	423	2	1412.51612903	891.75	1034.8125	844.166666667	704.027027027	752.813953488	884.216216216	1227.84	975.121212121	855.609756098	840.527777778	544.279069767	1174.38709677	815.884615385	682.0	809.025	751.657894737	807.6	837.069767442	812.894736842	1000.20689655	882.923076923	662.11627907	1222.16129032	811.571428571	884.129032258	830.333333333	942.083333333	443.357142857	876.783783784
alpha_rarefaction_423_3.txt	423	3	940.317073171	880.085714286	743.666666667	979.903225806	786.363636364	865.871794872	921.4375	838.15	835.133333333	772.153846154	717.902439024	677.170731707	803.714285714	1135.5	997.483870968	579.385964912	896.736842105	936.058823529	1036.8125	887.052631579	1079.77777778	725.4	634.30952381	1146.93548387	864.578947368	765.146341463	691.957446809	1002.0	661.161290323	603.909090909
